"","Lineup","Offensive Poss","ORtg","TO%","OREB%","Defensive Poss","DRtg","Forced TO%","Allowed OREB%","Team"
"1","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne",147.6,1.22,0.18,0.33,151.96,1.22,0.18,0.44,"HAKRO Merlins Crailsheim"
"2","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne",102.76,1.11,0.18,0.35,99.6,0.98,0.23,0.31,"HAKRO Merlins Crailsheim"
"3","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",92.12,1.11,0.13,0.33,96.6,1.15,0.14,0.39,"HAKRO Merlins Crailsheim"
"4","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",90.04,1.28,0.17,0.4,85.4,0.96,0.18,0.4,"HAKRO Merlins Crailsheim"
"5","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Russell, DeWayne || Span, Jan",42.4,1.27,0.14,0.15,45.96,1.24,0.13,0.36,"HAKRO Merlins Crailsheim"
"6","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Span, Jan",38.08,0.79,0.26,0.24,31.52,0.7,0.25,0.12,"HAKRO Merlins Crailsheim"
"7","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Span, Jan",37.4,1.02,0.16,0.42,30.48,1.12,0.13,0.1,"HAKRO Merlins Crailsheim"
"8","Jakobi, Dennis || Prtenjaca, Ante || Rümmele, Christopher || Rossek, Nils || Ulrich, Kevin",34.52,0.98,0.35,0.35,39.96,1.13,0.2,0.25,"HAKRO Merlins Crailsheim"
"9","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Morgan, Jeremy || Russell, DeWayne",37.6,1.46,0.11,0.67,36.32,1.05,0.28,0.5,"HAKRO Merlins Crailsheim"
"10","Ford, Quincy || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",26.08,1.11,0.12,0.44,29.96,1.07,0.2,0.47,"HAKRO Merlins Crailsheim"
"11","Idiaru, Promise || Kovacevic, Aleksa || Lazic, Vladan || Tokody, Gerlouis || Urbansky, Sören-Eyke",33.16,0.93,0.15,0.25,31.32,0.93,0.22,0.25,"HAKRO Merlins Crailsheim"
"12","Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",29.96,1.1,0,0.12,28.6,1.4,0.1,0.22,"HAKRO Merlins Crailsheim"
"13","Ford, Quincy || Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",31.4,1.15,0.1,0.33,29.08,1.24,0.17,0.12,"HAKRO Merlins Crailsheim"
"14","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Span, Jan",23.64,0.72,0.13,0.2,23.84,1.34,0.17,0.67,"HAKRO Merlins Crailsheim"
"15","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Span, Jan",27.52,1.56,0.15,0.45,22.52,1.47,0.13,0.38,"HAKRO Merlins Crailsheim"
"16","Hahn, Jannis || Idiaru, Precious || Kovacevic, Aleksa || Moser, Benjamin || Ulrich, Kevin",26.64,1.24,0.19,0.57,25.52,1.06,0.2,0.27,"HAKRO Merlins Crailsheim"
"17","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",26.96,1.26,0.07,0.1,25.4,1.02,0.28,0.5,"HAKRO Merlins Crailsheim"
"18","Bleck, Fabian || Hawkins, Javontae || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",24.2,1.36,0.08,0.43,20.84,1.2,0.1,0.5,"HAKRO Merlins Crailsheim"
"19","Ford, Quincy || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",25.52,1.06,0.2,0.11,27.2,0.51,0.26,0.07,"HAKRO Merlins Crailsheim"
"20","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Span, Jan",23.64,1.23,0.13,0.42,22.04,1.18,0.09,0.25,"HAKRO Merlins Crailsheim"
"21","Bleck, Fabian || Jones, Aaron || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",18.88,1.11,0.16,0.3,20.64,1.36,0.19,0.78,"HAKRO Merlins Crailsheim"
"22","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Span, Jan || Stuckey, Maurice",15.52,1.03,0.06,0.33,17.2,1.51,0,0.5,"HAKRO Merlins Crailsheim"
"23","Anameze, Emmanuel || Jakobi, Dennis || Prtenjaca, Ante || Rümmele, Christopher || Ulrich, Kevin",23.44,0.94,0.21,0.29,24.32,0.7,0.16,0.15,"HAKRO Merlins Crailsheim"
"24","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Morgan, Jeremy || Span, Jan",21.72,1.89,0.09,0.5,19.76,0.86,0.2,0.2,"HAKRO Merlins Crailsheim"
"25","Anameze, Emmanuel || Jakobi, Dennis || Prtenjaca, Ante || Rossek, Nils || Ulrich, Kevin",23.52,1.28,0.13,0.14,20.76,0.96,0.24,0.33,"HAKRO Merlins Crailsheim"
"26","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Span, Jan",17.32,1.44,0.12,0.33,17,0.76,0.29,0,"HAKRO Merlins Crailsheim"
"27","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Span, Jan",18.2,0.88,0.16,0.53,19.64,1.68,0,0,"HAKRO Merlins Crailsheim"
"28","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Span, Jan",13.76,0.73,0.07,0.22,14.64,0.96,0.14,0.67,"HAKRO Merlins Crailsheim"
"29","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Morgan, Jeremy || Span, Jan",15.4,1.1,0,0.36,14.88,0.94,0.34,0.33,"HAKRO Merlins Crailsheim"
"30","Ford, Quincy || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne || Span, Jan",17.76,1.46,0,0,16.28,1.29,0.12,0.33,"HAKRO Merlins Crailsheim"
"31","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Russell, DeWayne || Span, Jan",15.88,1.76,0.06,0.43,14.08,0.78,0.36,0.43,"HAKRO Merlins Crailsheim"
"32","Idiaru, Promise || Kovacevic, Aleksa || Lazic, Vladan || Urbansky, Sören-Eyke || Vasovic, Stefan",15.76,0.82,0.19,0.11,19.32,0.57,0.16,0.08,"HAKRO Merlins Crailsheim"
"33","Bleck, Fabian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Stuckey, Maurice",16.64,1.56,0.06,0.29,15.88,1.13,0.25,0.43,"HAKRO Merlins Crailsheim"
"34","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Stuckey, Maurice",18.76,1.28,0.05,0,19.32,1.24,0.1,0.38,"HAKRO Merlins Crailsheim"
"35","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Span, Jan",13.2,0.91,0.15,0.43,13.64,0.95,0,0.33,"HAKRO Merlins Crailsheim"
"36","Bleck, Fabian || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",16.32,1.78,0.25,0.67,16.64,0.78,0.42,0,"HAKRO Merlins Crailsheim"
"37","Bleck, Fabian || Ford, Quincy || Morgan, Jeremy || Russell, DeWayne || Span, Jan",14.88,1.41,0.07,0.29,15.52,1.1,0.39,0.75,"HAKRO Merlins Crailsheim"
"38","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Morgan, Jeremy || Russell, DeWayne",14.96,1.34,0.27,0.6,14.2,1.55,0,0.33,"HAKRO Merlins Crailsheim"
"39","Bleck, Fabian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",14.32,0.84,0.21,0,15,0.73,0.2,0.25,"HAKRO Merlins Crailsheim"
"40","Ford, Quincy || Kovacevic, Dejan || Russell, DeWayne || Span, Jan || Stuckey, Maurice",15.76,1.02,0.19,0.2,16.96,1.24,0.18,0.43,"HAKRO Merlins Crailsheim"
"41","Bleck, Fabian || Ford, Quincy || Kovacevic, Dejan || Russell, DeWayne || Span, Jan",14.2,0.85,0.14,0.67,14.88,0.74,0.2,0.22,"HAKRO Merlins Crailsheim"
"42","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Span, Jan",15,0.53,0.33,0,14.76,1.49,0.07,0.5,"HAKRO Merlins Crailsheim"
"43","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",10.88,0.46,0.09,0.5,10.64,1.22,0.19,0.33,"HAKRO Merlins Crailsheim"
"44","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Span, Jan",13.2,0.83,0.15,0.43,20,0.9,0.1,0.33,"HAKRO Merlins Crailsheim"
"45","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Span, Jan || Stuckey, Maurice",15.2,1.25,0.2,0.33,13.88,0.79,0.29,0.33,"HAKRO Merlins Crailsheim"
"46","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Russell, DeWayne || Span, Jan",10.64,1.13,0.09,0.6,11.44,0.52,0.35,0.33,"HAKRO Merlins Crailsheim"
"47","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Span, Jan",9.44,0.64,0.21,0.38,9.76,0.31,0,0.2,"HAKRO Merlins Crailsheim"
"48","Idiaru, Promis || Kovacevic, Aleksa || Tokody, Gerlouis || Vasovic, Stefan || Zejdl, Matej",13,1.08,0.15,0.29,12.88,0.54,0.39,0.38,"HAKRO Merlins Crailsheim"
"49","Idiaru, Promise || Kovacevic, Aleksa || Lazic, Vladan || Moser, Benjamin || Tokody, Gerlouis",12,1,0.17,0.17,11.76,0.94,0.34,0.5,"HAKRO Merlins Crailsheim"
"50","Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne || Stuckey, Maurice",10.64,1.32,0.09,0.2,10.76,1.02,0.09,0.29,"HAKRO Merlins Crailsheim"
"51","Kovacevic, Aleksa || Moser, Benjamin || Seibert, Luca || Ulrich, Kevin || Zejdl, Matej",13.52,1.48,0,0.25,11.2,0.8,0.18,0,"HAKRO Merlins Crailsheim"
"52","Kovacevic, Aleksa || Lazic, Vladan || Moser, Benjamin || Urbansky, Sören-Eyke || Vasovic, Stefan",10,0.2,0.5,0.17,14.2,0.77,0.14,0.33,"HAKRO Merlins Crailsheim"
"53","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Morgan, Jeremy || Span, Jan",14.2,1.76,0.14,0.67,12.2,1.23,0.16,0,"HAKRO Merlins Crailsheim"
"54","Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Stuckey, Maurice",13.64,1.1,0.22,0.5,9,0.56,0.33,0.2,"HAKRO Merlins Crailsheim"
"55","Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",10.2,1.47,0.1,0.33,10.76,1.02,0,0.17,"HAKRO Merlins Crailsheim"
"56","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Russell, DeWayne || Span, Jan",13.32,1.35,0.08,0.33,12.88,0.7,0.23,0,"HAKRO Merlins Crailsheim"
"57","Idiaru, Precious || Kovacevic, Aleksa || Lazic, Vladan || Moser, Benjamin || Vasovic, Stefan",10.76,1.49,0.19,0.75,13,0.77,0.54,0.33,"HAKRO Merlins Crailsheim"
"58","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Span, Jan",9,0.78,0.33,0,10.32,0.78,0.29,0.2,"HAKRO Merlins Crailsheim"
"59","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne",8.64,1.74,0,0,8.88,0.68,0.23,0.2,"HAKRO Merlins Crailsheim"
"60","Bleck, Fabian || Ford, Quincy || Russell, DeWayne || Span, Jan || Stuckey, Maurice",11.76,1.02,0.17,0,9.88,0.81,0.3,0.25,"HAKRO Merlins Crailsheim"
"61","Hahn, Jannis || Idiaru, Promis || Kovacevic, Aleksa || Moser, Benjamin || Seibert, Luca",13,0.69,0.46,0.25,11.76,1.19,0.34,0.67,"HAKRO Merlins Crailsheim"
"62","Bleck, Fabian || Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",10.88,1.84,0.09,0.67,7.76,1.16,0.13,0.71,"HAKRO Merlins Crailsheim"
"63","Anameze, Emmanuel || Calamita, Giovanni Alessio || Jakobi, Dennis || Rossek, Nils || Ulrich, Kevin",8.88,0.9,0.45,0.75,10.32,0.87,0.19,0.33,"HAKRO Merlins Crailsheim"
"64","Ford, Quincy || Jones, Aaron || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",5.88,0.17,0.51,0.71,7.44,1.48,0.13,0.5,"HAKRO Merlins Crailsheim"
"65","Bleck, Fabian || Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne",8.32,0.84,0.24,0.25,7.88,1.02,0.38,0.5,"HAKRO Merlins Crailsheim"
"66","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Russell, DeWayne",9.44,0.64,0,0,10.2,0.88,0.2,0,"HAKRO Merlins Crailsheim"
"67","Calamita, Giovanni Alessio || Jakobi, Dennis || Prtenjaca, Ante || Rossek, Nils || Ulrich, Kevin",12.32,1.06,0.16,0.33,10,0.2,0.7,0,"HAKRO Merlins Crailsheim"
"68","Bleck, Fabian || Carpenter, Liam || Herrera, Sebastian || Kovacevic, Dejan || Russell, DeWayne",9.76,0.92,0.2,0,10.76,1.3,0.28,0.5,"HAKRO Merlins Crailsheim"
"69","Ford, Quincy || Hawkins, Javontae || Kovacevic, Dejan || Span, Jan || Stuckey, Maurice",6.44,1.4,0,0.25,8.32,1.44,0,0.33,"HAKRO Merlins Crailsheim"
"70","Bleck, Fabian || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne",10,0.8,0.3,0,8.88,1.24,0.11,0.25,"HAKRO Merlins Crailsheim"
"71","Idiaru, Promis || Kovacevic, Aleksa || Lazic, Vladan || Moser, Benjamin || Vasovic, Stefan",5.32,0.75,0,0.67,5,0.8,0.2,0.75,"HAKRO Merlins Crailsheim"
"72","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Span, Jan || Stuckey, Maurice",3,0.67,0.67,0.67,7.44,0.94,0.13,0.4,"HAKRO Merlins Crailsheim"
"73","Hahn, Jannis || Kovacevic, Aleksa || Moser, Benjamin || Ulrich, Kevin || Zejdl, Matej",6,1,0.5,0.5,9.2,0.76,0.22,0,"HAKRO Merlins Crailsheim"
"74","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Span, Jan",5,1.4,0,0.67,4.88,0.82,0.41,1,"HAKRO Merlins Crailsheim"
"75","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Span, Jan",5.88,0.68,0.17,0,7,0.71,0.43,0.33,"HAKRO Merlins Crailsheim"
"76","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Russell, DeWayne || Span, Jan",5.76,1.56,0,0,5.64,0.71,0.18,0.33,"HAKRO Merlins Crailsheim"
"77","Anameze, Emmanuel || Jakobi, Dennis || Rümmele, Christopher || Rossek, Nils || Ulrich, Kevin",8,0.88,0.38,0.33,10.32,0.78,0.19,0.33,"HAKRO Merlins Crailsheim"
"78","Idiaru, Promis || Kovacevic, Aleksa || Moser, Benjamin || Tokody, Gerlouis || Vasovic, Stefan",6.88,1.6,0,0.33,5.88,0.68,0.34,0.67,"HAKRO Merlins Crailsheim"
"79","Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",7.88,1.27,0.13,0,6.76,0.74,0.15,0,"HAKRO Merlins Crailsheim"
"80","Hahn, Jannis || Idiaru, Precious || Kovacevic, Aleksa || Moser, Benjamin || Seibert, Luca",8,0.62,0.5,0,7,0.29,0.29,0.33,"HAKRO Merlins Crailsheim"
"81","Bleck, Fabian || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne || Span, Jan",6,1.17,0,0.57,5.32,2.26,0,1,"HAKRO Merlins Crailsheim"
"82","Bleck, Fabian || Ford, Quincy || Morgan, Jeremy || Russell, DeWayne || Stuckey, Maurice",5,0.4,0.4,0,6.64,1.36,0.15,1,"HAKRO Merlins Crailsheim"
"83","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Kovacevic, Dejan || Russell, DeWayne",6.64,1.36,0.15,0,6,1.33,0.33,0,"HAKRO Merlins Crailsheim"
"84","Bleck, Fabian || Ford, Quincy || Hawkins, Javontae || Russell, DeWayne || Stuckey, Maurice",4,0,0.5,0.33,4.88,0.61,0,0.33,"HAKRO Merlins Crailsheim"
"85","Bleck, Fabian || Herrera, Sebastian || Kovacevic, Dejan || Span, Jan || Stuckey, Maurice",7.88,1.14,0.13,0,6,1,0.5,0,"HAKRO Merlins Crailsheim"
"86","Bleck, Fabian || Ford, Quincy || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",5.88,1.36,0.17,0.67,5.88,1.36,0,0,"HAKRO Merlins Crailsheim"
"87","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Span, Jan || Stuckey, Maurice",6.88,0.58,0.15,0.25,5.88,0.68,0.51,0,"HAKRO Merlins Crailsheim"
"88","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",4.88,1.23,0,0,4.88,2.05,0,0.5,"HAKRO Merlins Crailsheim"
"89","Bleck, Fabian || Jones, Aaron || Russell, DeWayne || Span, Jan || Stuckey, Maurice",5,0.4,0,0.2,5,1.4,0,0.33,"HAKRO Merlins Crailsheim"
"90","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Russell, DeWayne",4.88,1.43,0.2,1,3,1.67,0,0,"HAKRO Merlins Crailsheim"
"91","Idiaru, Precious || Kovacevic, Aleksa || Moser, Benjamin || Schnabel, Tevin || Seibert, Luca",5.88,0.51,0.34,0,5,0.8,0,0.25,"HAKRO Merlins Crailsheim"
"92","Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne || Span, Jan",3.88,1.55,0,0,3,0,0.33,0.33,"HAKRO Merlins Crailsheim"
"93","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Stuckey, Maurice",4,1,0,0,6.32,1.42,0.32,0.5,"HAKRO Merlins Crailsheim"
"94","Bleck, Fabian || Carpenter, Liam || Ford, Quincy || Morgan, Jeremy || Span, Jan",5.88,0.68,0.17,0.25,4.76,1.26,0.21,0,"HAKRO Merlins Crailsheim"
"95","Hermann, Aaron || Jakobi, Dennis || Prtenjaca, Ante || Rossek, Nils || Ulrich, Kevin",4,1.5,0,0,4,1.5,0.25,1,"HAKRO Merlins Crailsheim"
"96","Idiaru, Precious || Kovacevic, Aleksa || Moser, Benjamin || Tokody, Gerlouis || Vasovic, Stefan",5,1.4,0.2,0,5.32,0.94,0,0.25,"HAKRO Merlins Crailsheim"
"97","Bleck, Fabian || Hawkins, Javontae || Morgan, Jeremy || Russell, DeWayne || Span, Jan",2,0,0.5,0,2.64,2.27,0,Inf,"HAKRO Merlins Crailsheim"
"98","Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan || Stuckey, Maurice",6.44,1.71,0.16,NA,2,1,0,0,"HAKRO Merlins Crailsheim"
"99","Idiaru, Promis || Kovacevic, Aleksa || Lazic, Vladan || Vasovic, Stefan || Zejdl, Matej",4,2.25,0,0.67,3.76,0.53,0.27,0.5,"HAKRO Merlins Crailsheim"
"100","Ford, Quincy || Jones, Aaron || Russell, DeWayne || Span, Jan || Stuckey, Maurice",3.44,0,0.58,0,3,1.67,0,0.67,"HAKRO Merlins Crailsheim"
"101","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Russell, DeWayne || Span, Jan",4,0,0.75,0.5,3.88,1.03,0.52,NA,"HAKRO Merlins Crailsheim"
"102","Idiaru, Promis || Kovacevic, Aleksa || Lazic, Vladan || Moser, Benjamin || Tokody, Gerlouis",1.88,1.06,0,0,5,0.4,0,0.4,"HAKRO Merlins Crailsheim"
"103","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Stuckey, Maurice",5.88,1.02,0.34,0,5,1.2,0.4,0,"HAKRO Merlins Crailsheim"
"104","Bleck, Fabian || Ford, Quincy || Jones, Aaron || Russell, DeWayne || Span, Jan",8,1.12,0.5,NA,7,1.57,0.14,0,"HAKRO Merlins Crailsheim"
"105","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Span, Jan || Stuckey, Maurice",2.88,0.35,0,0,1.88,1.6,0,1,"HAKRO Merlins Crailsheim"
"106","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Russell, DeWayne",4,0.5,0.5,1,3.76,0.8,0,0,"HAKRO Merlins Crailsheim"
"107","Hahn, Jannis || Idiaru, Promis || Kovacevic, Aleksa || Moser, Benjamin || Ulrich, Kevin",4,1.25,0.25,0,5,0.8,0,0.25,"HAKRO Merlins Crailsheim"
"108","Hahn, Jannis || Idiaru, Precious || Moser, Benjamin || Seibert, Luca || Ulrich, Kevin",2.88,0.35,0.35,1,3,1.33,0,1,"HAKRO Merlins Crailsheim"
"109","Anameze, Emmanuel || Calamita, Giovanni Alessio || Jakobi, Dennis || Prtenjaca, Ante || Rossek, Nils",4.88,0.61,0.2,0,5,0.8,0.4,0,"HAKRO Merlins Crailsheim"
"110","Idiaru, Precious || Lazic, Vladan || Tokody, Gerlouis || Ulrich, Kevin || Zejdl, Matej",5,0.4,0.4,0.5,5,0,0.4,0,"HAKRO Merlins Crailsheim"
"111","Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",3.88,0.52,0.26,0,4,0.5,0,0.33,"HAKRO Merlins Crailsheim"
"112","Idiaru, Promise || Lazic, Vladan || Moser, Benjamin || Tokody, Gerlouis || Vasovic, Stefan",2,0,0.5,0,1.88,1.6,0,1,"HAKRO Merlins Crailsheim"
"113","Idiaru, Precious || Lazic, Vladan || Moser, Benjamin || Tokody, Gerlouis || Ulrich, Kevin",2.88,0.69,0,0.33,3,0.67,0,0,"HAKRO Merlins Crailsheim"
"114","Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",2,0,0.5,0,3,1.33,0,0,"HAKRO Merlins Crailsheim"
"115","Hawkins, Javontae || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne",4,1.5,0,0.5,3.88,2.32,0,NA,"HAKRO Merlins Crailsheim"
"116","Ford, Quincy || Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne",3.76,1.06,0,0.33,1,2,1,NA,"HAKRO Merlins Crailsheim"
"117","Carpenter, Liam || Ford, Quincy || Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne",1.88,2.13,0,1,3,2.33,0,1,"HAKRO Merlins Crailsheim"
"118","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Russell, DeWayne || Stuckey, Maurice",3.44,2.33,0,NA,3.88,1.29,0,0.5,"HAKRO Merlins Crailsheim"
"119","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Russell, DeWayne || Stuckey, Maurice",5,1,0,0.25,5,1.8,0.2,0,"HAKRO Merlins Crailsheim"
"120","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Morgan, Jeremy || Russell, DeWayne",4.88,1.43,0.2,0,4,1.25,0.25,0,"HAKRO Merlins Crailsheim"
"121","Bleck, Fabian || Carpenter, Liam || Morgan, Jeremy || Russell, DeWayne || Urbansky, Sören",2.32,2.59,0,NA,4,0.75,0.25,0.75,"HAKRO Merlins Crailsheim"
"122","Idiaru, Promis || Kovacevic, Aleksa || Lazic, Vladan || Ulrich, Kevin || Zejdl, Matej",2.44,0,0.41,0.5,3,1.33,0,0.5,"HAKRO Merlins Crailsheim"
"123","Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",3,0,0,0,3,1,0,0,"HAKRO Merlins Crailsheim"
"124","Exler, Daniel || Jakobi, Dennis || Rümmele, Christopher || Rossek, Nils || Ulrich, Kevin",2.88,1.04,0.35,NA,4.44,1.58,0,0,"HAKRO Merlins Crailsheim"
"125","Anameze, Emmanuel || Prtenjaca, Ante || Rümmele, Christopher || Rossek, Nils || Ulrich, Kevin",3,1,0,0,3.88,1.29,0,0.5,"HAKRO Merlins Crailsheim"
"126","Anameze, Emmanuel || Hermann, Aaron || Jakobi, Dennis || Rossek, Nils || Ulrich, Kevin",3,1,0,0,3,0.67,0.67,1,"HAKRO Merlins Crailsheim"
"127","Bleck, Fabian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",3,0.67,0,0,4.88,1.64,0.2,0,"HAKRO Merlins Crailsheim"
"128","Bleck, Fabian || Herrera, Sebastian || Morgan, Jeremy || Russell, DeWayne || Span, Jan",2.88,0.35,0.69,1,2,0,0,0,"HAKRO Merlins Crailsheim"
"129","Kovacevic, Dejan || Morgan, Jeremy || Russell, DeWayne || Span, Jan || Stuckey, Maurice",4,0.75,0,0.33,3,2.67,0,NA,"HAKRO Merlins Crailsheim"
"130","Idiaru, Precious || Kovacevic, Aleksa || Tokody, Gerlouis || Vasovic, Stefan || Zejdl, Matej",3,2,0,1,3,2,0.33,0.5,"HAKRO Merlins Crailsheim"
"131","Anameze, Emmanuel || Exler, Daniel || Prtenjaca, Ante || Rümmele, Christopher || Rossek, Nils",1,3,0,NA,4,0,0.25,0,"HAKRO Merlins Crailsheim"
"132","Idiaru, Precious || Rümmele, Christopher || Schnabel, Tevin || Seibert, Luca || Zejdl, Matej",1.88,0,0,0,2,0,0.5,0,"HAKRO Merlins Crailsheim"
"133","Anameze, Emmanuel || Hermann, Aaron || Prtenjaca, Ante || Rümmele, Christopher || Ulrich, Kevin",4,1.75,0,0.5,3,1.67,0.33,NA,"HAKRO Merlins Crailsheim"
"134","Anameze, Emmanuel || Hermann, Aaron || Jakobi, Dennis || Rümmele, Christopher || Ulrich, Kevin",3.44,1.74,0.29,NA,3,1,0.33,0,"HAKRO Merlins Crailsheim"
"135","Idiaru, Precious || Schnabel, Tevin || Seibert, Luca || Ulrich, Kevin || Zejdl, Matej",4,0,0.25,0,1,0,1,NA,"HAKRO Merlins Crailsheim"
"136","Idiaru, Precious || Lazic, Vladan || Moser, Benjamin || Seibert, Luca || Ulrich, Kevin",3,0.67,0.33,0,2,1.5,0,0,"HAKRO Merlins Crailsheim"
"137","Hahn, Jannis || Kovacevic, Aleksa || Moser, Benjamin || Seibert, Luca || Ulrich, Kevin",1.88,0.53,0.53,NA,2.88,1.74,0,0,"HAKRO Merlins Crailsheim"
"138","Bleck, Fabian || Ford, Quincy || Herrera, Sebastian || Russell, DeWayne || Stuckey, Maurice",2,1,0,0,3,1,0,0,"HAKRO Merlins Crailsheim"
"139","Bleck, Fabian || Carpenter, Liam || Hawkins, Javontae || Kovacevic, Dejan || Russell, DeWayne",2.44,1.23,0,0,2,2.5,0,NA,"HAKRO Merlins Crailsheim"
